ts,endpoint,code,ms
09:30:08,/health,200,60
09:30:08,/cursos,200,65
09:30:09,/health,200,60
09:30:09,/cursos,200,63
09:30:09,/health,200,81
09:30:10,/cursos,200,76
09:30:10,/health,200,61
09:30:10,/cursos,200,63
09:30:11,/health,200,61
09:30:11,/cursos,200,62
09:30:12,/health,200,61
09:30:12,/cursos,200,63
09:30:13,/health,200,60
09:30:13,/cursos,200,63
09:30:14,/health,200,61
09:30:14,/cursos,200,63
09:30:15,/health,200,64
09:30:15,/cursos,200,64
09:30:15,/health,200,60
09:30:15,/cursos,200,64
09:30:16,/health,200,60
09:30:16,/cursos,200,63
